Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Wed, Feb 9, 2022",7:00p,San Antonio Spurs,92,Cleveland Cavaliers,105,https://www.basketball-reference.com/boxscores/202202090CLE.html,"19,432",2:01,Rocket Mortgage Fieldhouse
"Wed, Feb 9, 2022",7:30p,Chicago Bulls,121,Charlotte Hornets,109,https://www.basketball-reference.com/boxscores/202202090CHO.html,"19,099",2:12,Spectrum Center
"Wed, Feb 9, 2022",8:00p,Toronto Raptors,117,Oklahoma City Thunder,98,https://www.basketball-reference.com/boxscores/202202090OKC.html,"13,858",1:57,Paycom Center
"Wed, Feb 9, 2022",10:00p,Los Angeles Lakers,105,Portland Trail Blazers,107,https://www.basketball-reference.com/boxscores/202202090POR.html,"19,393",2:06,Moda Center
"Wed, Feb 9, 2022",10:00p,Minnesota Timberwolves,119,Sacramento Kings,132,https://www.basketball-reference.com/boxscores/202202090SAC.html,"12,527",2:19,Golden 1 Center
"Wed, Feb 9, 2022",10:00p,Golden State Warriors,85,Utah Jazz,111,https://www.basketball-reference.com/boxscores/202202090UTA.html,"18,306",2:16,Vivint Smart Home Arena
"Thu, Feb 10, 2022",7:00p,Memphis Grizzlies,132,Detroit Pistons,107,https://www.basketball-reference.com/boxscores/202202100DET.html,"18,744",2:16,Little Caesars Arena
"Thu, Feb 10, 2022",7:30p,Miami Heat,112,New Orleans Pelicans,97,https://www.basketball-reference.com/boxscores/202202100NOP.html,"16,672",2:08,Smoothie King Center
"Thu, Feb 10, 2022",7:30p,Brooklyn Nets,112,Washington Wizards,113,https://www.basketball-reference.com/boxscores/202202100WAS.html,"15,204",2:21,Capital One Arena
"Thu, Feb 10, 2022",8:00p,Toronto Raptors,139,Houston Rockets,120,https://www.basketball-reference.com/boxscores/202202100HOU.html,"16,129",2:17,Toyota Center
"Thu, Feb 10, 2022",8:30p,Los Angeles Clippers,105,Dallas Mavericks,112,https://www.basketball-reference.com/boxscores/202202100DAL.html,"19,532",2:22,American Airlines Center
"Thu, Feb 10, 2022",10:00p,New York Knicks,116,Golden State Warriors,114,https://www.basketball-reference.com/boxscores/202202100GSW.html,"18,064",2:20,Chase Center
"Thu, Feb 10, 2022",10:00p,Milwaukee Bucks,107,Phoenix Suns,131,https://www.basketball-reference.com/boxscores/202202100PHO.html,"17,071",2:18,Phoenix Suns Arena
"Fri, Feb 11, 2022",7:00p,Charlotte Hornets,141,Detroit Pistons,119,https://www.basketball-reference.com/boxscores/202202110DET.html,"20,088",2:08,Little Caesars Arena
"Fri, Feb 11, 2022",7:00p,Cleveland Cavaliers,120,Indiana Pacers,113,https://www.basketball-reference.com/boxscores/202202110IND.html,"15,075",2:17,Gainbridge Fieldhouse
"Fri, Feb 11, 2022",7:00p,Oklahoma City Thunder,87,Philadelphia 76ers,100,https://www.basketball-reference.com/boxscores/202202110PHI.html,"20,669",2:05,Wells Fargo Center
"Fri, Feb 11, 2022",7:30p,San Antonio Spurs,136,Atlanta Hawks,121,https://www.basketball-reference.com/boxscores/202202110ATL.html,"17,234",2:09,State Farm Arena
"Fri, Feb 11, 2022",7:30p,Denver Nuggets,102,Boston Celtics,108,https://www.basketball-reference.com/boxscores/202202110BOS.html,"19,156",2:17,TD Garden
"Fri, Feb 11, 2022",8:00p,Minnesota Timberwolves,122,Chicago Bulls,134,https://www.basketball-reference.com/boxscores/202202110CHI.html,"20,092",2:05,United Center
"Fri, Feb 11, 2022",9:00p,Orlando Magic,99,Utah Jazz,114,https://www.basketball-reference.com/boxscores/202202110UTA.html,"18,306",2:07,Vivint Smart Home Arena
"Sat, Feb 12, 2022",5:00p,New York Knicks,103,Portland Trail Blazers,112,https://www.basketball-reference.com/boxscores/202202120POR.html,"18,521",2:16,Moda Center
"Sat, Feb 12, 2022",7:00p,Memphis Grizzlies,125,Charlotte Hornets,118,https://www.basketball-reference.com/boxscores/202202120CHO.html,"19,454",2:33,Spectrum Center
"Sat, Feb 12, 2022",7:00p,San Antonio Spurs,124,New Orleans Pelicans,114,https://www.basketball-reference.com/boxscores/202202120NOP.html,"16,615",2:07,Smoothie King Center
"Sat, Feb 12, 2022",7:00p,Sacramento Kings,123,Washington Wizards,110,https://www.basketball-reference.com/boxscores/202202120WAS.html,"14,169",2:08,Capital One Arena
"Sat, Feb 12, 2022",7:30p,Cleveland Cavaliers,93,Philadelphia 76ers,103,https://www.basketball-reference.com/boxscores/202202120PHI.html,"21,057",2:08,Wells Fargo Center
"Sat, Feb 12, 2022",7:30p,Denver Nuggets,110,Toronto Raptors,109,https://www.basketball-reference.com/boxscores/202202120TOR.html,0,2:08,Scotiabank Arena
"Sat, Feb 12, 2022",8:00p,Oklahoma City Thunder,101,Chicago Bulls,106,https://www.basketball-reference.com/boxscores/202202120CHI.html,"20,072",2:15,United Center
"Sat, Feb 12, 2022",8:00p,Brooklyn Nets,111,Miami Heat,115,https://www.basketball-reference.com/boxscores/202202120MIA.html,"19,600",2:17,FTX Arena
"Sat, Feb 12, 2022",8:30p,Los Angeles Clippers,99,Dallas Mavericks,97,https://www.basketball-reference.com/boxscores/202202120DAL.html,"20,028",2:16,American Airlines Center
"Sat, Feb 12, 2022",8:30p,Los Angeles Lakers,115,Golden State Warriors,117,https://www.basketball-reference.com/boxscores/202202120GSW.html,"18,064",2:31,Chase Center
"Sat, Feb 12, 2022",9:00p,Orlando Magic,105,Phoenix Suns,132,https://www.basketball-reference.com/boxscores/202202120PHO.html,"17,071",1:57,Phoenix Suns Arena
"Sun, Feb 13, 2022",2:00p,Atlanta Hawks,95,Boston Celtics,105,https://www.basketball-reference.com/boxscores/202202130BOS.html,"19,156",2:15,TD Garden
"Sun, Feb 13, 2022",3:00p,Minnesota Timberwolves,129,Indiana Pacers,120,https://www.basketball-reference.com/boxscores/202202130IND.html,"13,532",2:14,Gainbridge Fieldhouse
"Mon, Feb 14, 2022",7:00p,Detroit Pistons,94,Washington Wizards,103,https://www.basketball-reference.com/boxscores/202202140WAS.html,"10,793",2:11,Capital One Arena
"Mon, Feb 14, 2022",7:30p,Sacramento Kings,85,Brooklyn Nets,109,https://www.basketball-reference.com/boxscores/202202140BRK.html,"16,873",2:10,Barclays Center
"Mon, Feb 14, 2022",7:30p,Oklahoma City Thunder,127,New York Knicks,123,https://www.basketball-reference.com/boxscores/202202140NYK.html,"18,433",2:31,Madison Square Garden (IV)
"Mon, Feb 14, 2022",8:00p,San Antonio Spurs,109,Chicago Bulls,120,https://www.basketball-reference.com/boxscores/202202140CHI.html,"21,153",2:07,United Center
"Mon, Feb 14, 2022",8:00p,Portland Trail Blazers,122,Milwaukee Bucks,107,https://www.basketball-reference.com/boxscores/202202140MIL.html,"17,341",2:06,Fiserv Forum
"Mon, Feb 14, 2022",8:00p,Toronto Raptors,90,New Orleans Pelicans,120,https://www.basketball-reference.com/boxscores/202202140NOP.html,"15,319",2:04,Smoothie King Center
"Mon, Feb 14, 2022",9:00p,Orlando Magic,111,Denver Nuggets,121,https://www.basketball-reference.com/boxscores/202202140DEN.html,"15,025",2:18,Ball Arena
"Mon, Feb 14, 2022",9:00p,Houston Rockets,101,Utah Jazz,135,https://www.basketball-reference.com/boxscores/202202140UTA.html,"18,306",2:12,Vivint Smart Home Arena
"Mon, Feb 14, 2022",10:30p,Golden State Warriors,104,Los Angeles Clippers,119,https://www.basketball-reference.com/boxscores/202202140LAC.html,"19,068",2:05,Crypto.com Arena
"Tue, Feb 15, 2022",7:30p,Cleveland Cavaliers,116,Atlanta Hawks,124,https://www.basketball-reference.com/boxscores/202202150ATL.html,"15,947",2:12,State Farm Arena
"Tue, Feb 15, 2022",7:30p,Dallas Mavericks,107,Miami Heat,99,https://www.basketball-reference.com/boxscores/202202150MIA.html,"19,600",2:22,FTX Arena
"Tue, Feb 15, 2022",7:30p,Boston Celtics,135,Philadelphia 76ers,87,https://www.basketball-reference.com/boxscores/202202150PHI.html,"20,960",2:20,Wells Fargo Center
"Tue, Feb 15, 2022",8:00p,Indiana Pacers,119,Milwaukee Bucks,128,https://www.basketball-reference.com/boxscores/202202150MIL.html,"17,341",,Fiserv Forum
"Tue, Feb 15, 2022",8:00p,Charlotte Hornets,120,Minnesota Timberwolves,126,https://www.basketball-reference.com/boxscores/202202150MIN.html,"17,136",2:48,Target Center
"Tue, Feb 15, 2022",8:00p,Memphis Grizzlies,121,New Orleans Pelicans,109,https://www.basketball-reference.com/boxscores/202202150NOP.html,"15,901",2:12,Smoothie King Center
